Time: 0.000 ms, Membrane potential: -65.000 mV
Time: 0.025 ms, Membrane potential: -64.999 mV
Time: 0.050 ms, Membrane potential: -64.999 mV
Time: 0.075 ms, Membrane potential: -64.998 mV
Time: 0.100 ms, Membrane potential: -64.997 mV
Time: 0.125 ms, Membrane potential: -64.996 mV
Time: 0.150 ms, Membrane potential: -64.996 mV
Time: 0.175 ms, Membrane potential: -64.995 mV
Time: 0.200 ms, Membrane potential: -64.994 mV
Time: 0.225 ms, Membrane potential: -64.994 mV
Time: 0.250 ms, Membrane potential: -64.993 mV
Time: 0.275 ms, Membrane potential: -64.992 mV
Time: 0.300 ms, Membrane potential: -64.992 mV
Time: 0.325 ms, Membrane potential: -64.991 mV
Time: 0.350 ms, Membrane potential: -64.990 mV
Time: 0.375 ms, Membrane potential: -64.990 mV
Time: 0.400 ms, Membrane potential: -64.989 mV
Time: 0.425 ms, Membrane potential: -64.989 mV
Time: 0.450 ms, Membrane potential: -64.988 mV
Time: 0.475 ms, Membrane potential: -64.987 mV
Time: 0.500 ms, Membrane potential: -64.987 mV
Time: 0.525 ms, Membrane potential: -64.986 mV
Time: 0.550 ms, Membrane potential: -64.985 mV
Time: 0.575 ms, Membrane potential: -64.985 mV
Time: 0.600 ms, Membrane potential: -64.984 mV
Time: 0.625 ms, Membrane potential: -64.984 mV
Time: 0.650 ms, Membrane potential: -64.983 mV
Time: 0.675 ms, Membrane potential: -64.983 mV
Time: 0.700 ms, Membrane potential: -64.982 mV
Time: 0.725 ms, Membrane potential: -64.981 mV
Time: 0.750 ms, Membrane potential: -64.981 mV
Time: 0.775 ms, Membrane potential: -64.980 mV
Time: 0.800 ms, Membrane potential: -64.980 mV
Time: 0.825 ms, Membrane potential: -64.979 mV
Time: 0.850 ms, Membrane potential: -64.979 mV
Time: 0.875 ms, Membrane potential: -64.978 mV
Time: 0.900 ms, Membrane potential: -64.978 mV
Time: 0.925 ms, Membrane potential: -64.977 mV
Time: 0.950 ms, Membrane potential: -64.977 mV
Time: 0.975 ms, Membrane potential: -64.976 mV
Time: 1.000 ms, Membrane potential: -64.976 mV
Time: 1.025 ms, Membrane potential: -64.975 mV
Time: 1.050 ms, Membrane potential: -64.975 mV
Time: 1.075 ms, Membrane potential: -64.974 mV
Time: 1.100 ms, Membrane potential: -64.974 mV
Time: 1.125 ms, Membrane potential: -64.973 mV
Time: 1.150 ms, Membrane potential: -64.973 mV
Time: 1.175 ms, Membrane potential: -64.972 mV
Time: 1.200 ms, Membrane potential: -64.972 mV
Time: 1.225 ms, Membrane potential: -64.971 mV
Time: 1.250 ms, Membrane potential: -64.971 mV
Time: 1.275 ms, Membrane potential: -64.970 mV
Time: 1.300 ms, Membrane potential: -64.970 mV
Time: 1.325 ms, Membrane potential: -64.969 mV
Time: 1.350 ms, Membrane potential: -64.969 mV
